標題,影片連結,頻道名稱,發布時間,觀看次數
頑童MJ116【無袂煞 I ain't done yet】Official Music Video(4K),https://www.youtube.com/watch?v=tXLOasS-4JU,滾石唱片 ROCK RECORDS,2025-04-02T13:00:07Z,"1,318,134"
盧廣仲 Crowd Lu【愚人節快樂 All Fool’s Day】Official Lyrics Video,https://www.youtube.com/watch?v=QVIrAWjB2ZU,添翼音樂 TEAM EAR MUSIC,2025-03-31T16:00:25Z,"902,555"
愚人節快樂,https://www.youtube.com/watch?v=SukLQvDdO6E,Crowd Lu - Topic,2025-03-31T10:02:57Z,"493,570"
【MV首播】林姍  - 天后駕到 (官方完整版MV) HD,https://www.youtube.com/watch?v=4HUbdfYHHzs,豪記唱片 HCM Music,2025-04-02T02:00:06Z,"221,579"
跳楼机,https://www.youtube.com/watch?v=8GlMLXFkIJI,Priscilla Abby - Topic,2025-03-19T10:02:01Z,"1,653,985"
【MV首播】林姍  - 追分車站 (官方完整版MV) HD 【三立八點檔『願望』片尾曲】,https://www.youtube.com/watch?v=-laWz7wzEU4,豪記唱片 HCM Music,2025-04-08T02:00:06Z,"79,715"
대성(DAESUNG) 'Universe' Official MV,https://www.youtube.com/watch?v=PHToFdx20ac,DAESUNG,2025-04-08T09:00:15Z,"3,454,713"
告五人 Accusefive [ 我天生 - 有夢版 True Colors - Dreamers ] Official Music Video,https://www.youtube.com/watch?v=h-PpnbX006E,告五人Accusefive,2025-04-02T10:00:53Z,"1,339,625"
"Cover Film｜'Congratulations' (원곡 : DAY6) by TAESAN, LEEHAN, WOONHAK - BOYNEXTDOOR (보이넥스트도어)",https://www.youtube.com/watch?v=nh4e3_v21bc,BOYNEXTDOOR,2025-04-02T11:00:05Z,"1,547,464"
You'll Be in My Heart (Spotify Singles),https://www.youtube.com/watch?v=Bl0Gtp5FMd4,NIKI - Topic,2025-04-02T19:07:54Z,"4,737,915"
Loose,https://www.youtube.com/watch?v=lHTii1MKHbk,ENHYPEN - Topic,2025-04-04T04:00:52Z,"1,486,014"
過了幾天 (合唱版),https://www.youtube.com/watch?v=mDS51LGkQuk,郭家瑋 - Topic,2025-03-20T16:03:24Z,"746,781"
謝和弦R-chord【謝謝妳愛我抱歉我是渣男】Official Music Video,https://www.youtube.com/watch?v=pjBiN2uC3ZE,謝和弦 R-chord馬槽音樂,2025-04-02T22:27:16Z,"115,891"
【MV首播】翁立友 vs 唐儷  - 若有來世 (官方完整版MV) HD,https://www.youtube.com/watch?v=zuAnjj8b5MM,豪記唱片 HCM Music,2025-03-24T02:00:39Z,"300,198"
AYANG - AYANG - SASYA ARKHISNA (Official Music Live),https://www.youtube.com/watch?v=WhXuW-jxIfw,Music Interactive,2025-03-21T10:00:07Z,"1,994,157"
