遊戲名稱,評價,發售日
Counter-Strike 2,Very Positive,"21 Aug, 2012"
Age of Empires II: Definitive Edition,Very Positive,"14 Nov, 2019"
Age of Empires II: DE - The Three Kingdoms,N/A,"6 May, 2025"
PUBG: BATTLEGROUNDS,Mixed,"21 Dec, 2017"
Monster Hunter Wilds,Mixed,"27 Feb, 2025"
Marvel Rivals,Very Positive,"5 Dec, 2024"
R.E.P.O.,Overwhelmingly Positive,"26 Feb, 2025"
Once Human,Mostly Positive,"9 Jul, 2024"
Yu-Gi-Oh! Master Duel,Mostly Positive,"18 Jan, 2022"
Into the Dead: Our Darkest Days,Mostly Positive,"9 Apr, 2025"
NBA 2K25,Mixed,"28 Oct, 2024"
Apex Legends™,Mixed,"4 Nov, 2020"
Red Dead Redemption 2,Very Positive,"5 Dec, 2019"
NARAKA: BLADEPOINT,Mostly Positive,"11 Aug, 2021"
inZOI,Very Positive,"27 Mar, 2025"
DAVE THE DIVER,Overwhelmingly Positive,"28 Jun, 2023"
Age of Empires IV: Anniversary Edition,Very Positive,"28 Oct, 2021"
Sultan's Game,Very Positive,"30 Mar, 2025"
Age of Empires IV: Knights of Cross and Rose,Mixed,"8 Apr, 2025"
FragPunk,Mostly Positive,"6 Mar, 2025"
Hero's Land,Mixed,"17 May, 2023"
Wizardry Variants Daphne,Mixed,"5 Mar, 2025"
The First Berserker: Khazan,Very Positive,"27 Mar, 2025"
Schedule I,Overwhelmingly Positive,"24 Mar, 2025"
Split Fiction,Overwhelmingly Positive,"6 Mar, 2025"
Warframe,Very Positive,"25 Mar, 2013"
Conqueror's Blade,Mixed,"5 Apr, 2020"
Baldur's Gate 3,Overwhelmingly Positive,"3 Aug, 2023"
Black Desert,Mostly Positive,"14 Sep, 2021"
Devil May Cry 5,Overwhelmingly Positive,"7 Mar, 2019"
Dead by Daylight,Mostly Positive,"14 Jun, 2016"
DAVE THE DIVER - Ichiban's Holiday Content Pack,Mixed,"10 Apr, 2025"
GrandChase,Mixed,"27 Jul, 2021"
Euro Truck Simulator 2,Overwhelmingly Positive,"12 Oct, 2012"
Nioh 2 – The Complete Edition,Very Positive,"5 Feb, 2021"
DEAD OR ALIVE Xtreme Venus Vacation,Very Positive,"25 Mar, 2019"
Wild Assault,Mostly Positive,"11 Apr, 2025"
DYNASTY WARRIORS: ORIGINS,Very Positive,"16 Jan, 2025"
Black Myth: Wukong,Overwhelmingly Positive,"19 Aug, 2024"
Rust,Very Positive,"8 Feb, 2018"
Dark and Darker,Mostly Positive,"7 Jun, 2024"
Cities: Skylines II,Mixed,"24 Oct, 2023"
Enshrouded,Very Positive,"24 Jan, 2024"
HELLDIVERS™ 2,Mostly Positive,"8 Feb, 2024"
NINJA GAIDEN 2 Black,Mostly Positive,"23 Jan, 2025"
UNLIGHT:Revive,Mixed,"6 Dec, 2024"
World of Warships,Mostly Positive,"15 Nov, 2017"
INAZUMA ELEVEN: Victory Road,N/A,"21 Aug, 2025"
Sniper Elite: Resistance,Mostly Positive,"30 Jan, 2025"
The Last of Us™ Part II Remastered,Very Positive,"3 Apr, 2025"
